bearingA_x,bearingA_y,bearingB_x,bearingB_y
-0.138363146,0.028934799,-0.019773335,-0.002564276
-0.101086859,0.012587482,-0.005409347,0.015794102
-0.105067455,-0.003971942,0.027829848,0.026102206
-0.181644675,0.080939443,-0.012655303,0.050236691
-0.153243663,0.031137485,-0.042392568,0.046296974
-0.121982848,-0.060292429,-0.017940587,-0.024879977
-0.163070916,0.007005372,-0.025359729,-0.041246596
-0.081855367,-0.02823932,-0.059309164,-0.010392392
0.062003595,-0.110699904,-0.037639227,-0.016872773
0.067064685,-0.013605003,-0.031858488,-0.008471787
0.082089383,0.015393322,-0.021806597,0.010819171
0.115873111,-0.040234924,0.004027055,-0.031558894
0.069211263,0.045091648,0.002219533,-0.029798409
0.064839675,0.059957144,-0.030898991,0.005860191
0.120732855,-0.045576041,-0.028663873,-0.00076418
0.092373076,0.012098625,-0.011235883,0.000497371
0.074329362,0.039706761,-0.008870751,0.017356739
0.122857679,-0.058550196,-0.023515238,0.021090513
0.07361904,-0.018592484,0.004248537,0.004523225
0.004176586,0.038373236,0.070632477,-0.054654421
0.021914526,-0.065976449,0.045517876,-0.037305663
-0.026767881,-0.067805846,-0.003971393,0.027674225
-0.127172535,0.006488038,0.016090312,-0.021395844
-0.086154109,-0.041660863,0.013306508,-0.045364443
-0.056756693,-0.032487074,-0.033328331,0.006504516
-0.077332901,0.062607405,-0.05900371,-0.013530818
-0.013350264,0.027643774,-0.063191972,-0.027601147
0.008836054,-0.012199156,-0.037907656,-0.010080581
-0.041763248,0.03561926,-0.030726849,-0.040098318
-0.001462583,-0.005869153,-0.069110947,0.004650641
0.04262383,-0.047728261,-0.06647771,0.044667297
0.035533506,0.009192187,-0.006795804,-0.020598633
0.086595407,0.008242048,0.011695555,-0.004065591
0.111742489,-0.026155535,0.027875243,0.034475015
0.074416604,0.022798072,0.061746455,-0.033334584
0.088850214,0.016543596,0.086304224,-0.032801005
0.078822732,-0.027124219,0.081734917,0.028056574
0.027478146,0.00325608,0.069512608,0.027793768
0.051330496,-0.016505753,0.053146584,0.040931215
0.05081735,-0.055463702,0.051243652,0.056823194
-0.028339159,0.011667867,0.054357532,0.026162892
-0.043986177,0.011854952,0.049818443,0.001398016
-0.078093442,-0.031854226,0.004565831,-0.002278057
-0.155090591,0.040643264,-0.035949564,0.007715081
-0.137538237,0.029721125,-0.019477229,0.001943832
-0.096304214,-0.053315731,-0.015699656,-0.01493435
-0.122073743,-0.007305669,-0.068149215,0.034138644
-0.139198319,0.003964717,-0.059731238,0.04406406
-0.117697531,-0.054860989,-0.00299993,-0.024557016
-0.143928118,0.013517274,-0.023440391,-0.019707462
-0.102474158,0.042319801,-0.040725556,-0.004943636
0.029589629,-0.016549368,-0.019062176,-0.042438805
0.096096218,0.042996253,0.017044924,-0.020817615
0.112906455,0.081496458,0.022151318,0.014304835
0.171614945,0.001997283,0.004140463,0.005099378
0.14783072,0.006585922,-0.010540076,0.009421893
0.081697396,0.01824655,-0.002884406,-0.006560153
0.117277733,-0.091394656,-0.019739749,-0.015272878
0.127243091,-0.11194766,-0.02825969,0.011148211
0.070390803,-0.043402889,-0.013170273,0.003867634
0.088995844,-0.058981301,-0.002926832,0.003191794
0.072030461,-0.027055724,0.040742884,0.006558747
-0.031321398,0.069449536,0.06691997,-0.037329104
-0.055327061,0.050304379,0.034990062,-0.031548584
-0.079625231,0.012869586,0.000184033,0.000325489
-0.145849339,0.050134646,0.012779544,-0.036116596
-0.135976701,0.014456788,-0.011243481,-0.028532631
-0.098731187,-0.049125363,-0.051231856,0.003901525
-0.112782393,-0.027343489,-0.058128583,-0.035471723
-0.063128787,-0.025324554,-0.031954437,-0.044069562
-0.02960266,-0.04980496,-0.011907903,-0.022123644
-0.033446632,-0.001552735,-0.026733967,-0.028078479
0.001499382,0.024922256,-0.034109671,0.000233776
0.031968632,0.007426334,-0.020945193,0.031979309
0.064774296,0.016134156,0.007559387,0.014016825
0.12234056,0.001942258,-0.005326604,0.033353951
0.134301153,-0.030363628,0.007319766,0.039092738
0.110365054,-0.027080671,0.029290067,0.003117569
0.110369108,-0.028284492,0.069523214,0.001284091
0.085146418,-0.032513597,0.049760313,0.015632052
0.052745774,0.027370448,0.022916321,0.013666405
0.066487843,0.041157865,0.031063655,0.014633931
0.088689676,0.005326069,0.055165232,0.023554804
0.017096179,0.02381946,0.042259251,0.018965873
-0.047219255,0.005640465,0.028909097,-0.010643508
-0.086803254,-0.061662517,0.015429819,-0.031468928
-0.155974642,-0.021640241,-0.018048593,0.011765598
-0.158901664,-0.020735648,-0.014608953,0.023892359
-0.107331709,-0.079434229,-0.048415427,0.019523519
-0.104484662,-0.036047853,-0.071451823,0.062490374
-0.108833185,0.012535266,-0.070424224,0.059206392
-0.066280554,-0.011654864,-0.029176885,-0.009476586
-0.07555346,0.052997895,-0.056471691,-0.023970734
-0.06259703,0.107425202,-0.043325738,-0.032854394
0.052715771,0.03876623,-0.010212139,-0.060706798
0.096865737,0.030219208,0.044259565,-0.035860923
0.076182536,0.031712057,0.050346849,-0.015788141
0.100957717,-0.061650029,0.037008109,-0.016853479
0.057058153,-0.078866288,0.043871857,-0.007878307
-0.008540148,-0.034819029,0.029570198,0.006352172
0.046824837,-0.09992506,-0.010404841,0.02030625
0.081424272,-0.06328502,-0.037279492,0.026126438
0.067876395,0.061049286,-0.019948929,0.007637854
0.138513067,0.044552043,-0.029462588,0.026682799
0.115308842,0.02254018,0.012894812,0.028977187
-0.002552144,0.076273697,0.028927481,-0.024619077
-0.009455218,-0.015093321,0.037126553,-0.043235752
-0.019181483,-0.100084921,0.016841272,-0.026319657
-0.100738354,-0.048248943,0.03704956,-0.0465181
-0.093899882,-0.054795765,0.017018362,-0.057841077
-0.05713952,-0.065489232,-0.015943041,-0.024951843
-0.067663228,0.049088478,-0.043099805,-0.018959922
-0.031197027,0.090900372,-0.038739159,-0.015876542
-0.007227611,0.050924151,-0.037639512,-0.007155759
-0.044760261,0.082767335,-0.058490297,-0.023144062
-0.031981612,0.054615851,-0.054875815,-0.013689112
0.006227093,-0.027275764,-0.055123309,0.051793568
-0.002257412,-0.030148442,-0.020373745,0.061105175
0.027553856,-0.038463778,-0.010968105,0.038750131
0.084394803,-0.077005765,0.022015705,0.035004355
0.080525457,-0.023399437,0.055601229,0.009127209
0.077736595,-0.015406829,0.099133716,-0.027978592
0.101043967,-0.057403056,0.07940193,-0.023275331
0.056617717,-0.000595837,0.055162739,-0.006252943
0.050060492,0.027544092,0.047502334,0.003996026
0.087223385,-0.039780967,0.032370603,0.045932519
-0.003965715,0.011217755,0.008053747,0.055914075
-0.086881008,0.049014163,0.007115364,0.010099542
-0.066404646,-0.027443204,-0.007982846,-0.001303229
-0.149622911,0.007904837,-0.029129343,0.02536145
-0.200467947,0.058089911,-0.01047205,0.004899404
-0.093887054,-0.046716813,-0.009233524,-0.011580966
-0.052174313,-0.055698385,-0.018622669,0.027862115
-0.073276857,0.009278881,-0.02003847,0.062795469
-0.020623691,-0.070452798,0.012159708,0.025137294
-0.012083396,-0.071334306,0.006784289,-0.016717524
-0.041737905,0.037554499,-0.012547441,-0.029411592
0.064003076,0.008288317,-0.004314334,-0.039281769
0.114926858,-0.010912671,0.02688713,-0.033140115
0.052522613,0.076454104,0.021788475,-0.003982244
0.057194879,0.038978144,-0.021523876,0.012762431
0.049587014,0.013380603,-0.034427903,0.010421751
-0.033615363,0.067317533,-0.038458215,0.006027456
-0.028556266,0.011120908,-0.057754328,-0.000258709
0.019099497,-0.067933699,-0.066399227,-0.016419543
0.014403867,-0.00815792,-0.036062224,-0.020433922
0.042281305,-0.02927953,-0.007592366,-0.002039206
0.055889167,-0.081055621,0.017464999,0.006744661
-0.003920129,-0.028349589,0.044426745,-0.028611222
-0.026679335,-0.024653127,0.036780342,-0.039037976
0.003546273,-0.076270868,0.012280929,0.006920089
-0.03364939,-0.026141537,0.004817151,0.007616309
-0.034016697,0.015679904,0.008625355,-0.030369319
0.012095796,-0.004513194,-0.029778516,-0.019937499
0.015200508,0.04779002,-0.025872443,-0.00593551
-0.005470313,0.081059134,-0.001397278,-0.02679111
0.016373624,0.023644662,0.006805628,-0.013598662
0.008776143,0.001689923,-0.020329649,-0.016211558
0.004683561,0.021259757,-0.018889079,-0.024420286
0.047626577,-0.033541935,-0.015724153,0.009621132
0.056712429,-0.049112516,-0.014871087,0.01754768
0.0696395,-0.030579616,-0.020964459,-0.002241787
0.10318253,-0.045038589,-0.008841085,0.02502108
0.079521751,-0.04014419,0.03497231,0.028774756
0.030236726,-0.015705404,0.060688568,0.001532308
0.032203338,-0.032416843,0.066486603,0.019145384
-0.011460075,-0.001244179,0.026731138,0.042702781
-0.021528195,0.047824088,0.055675705,0.030000653
0.020431572,0.014298104,0.043051049,0.042617357
-0.003852976,0.020792003,0.010549173,0.043718959
-0.063330649,0.05191483,-0.008893654,-0.015712496
-0.06897719,0.005899709,0.004334295,-0.059211587
-0.140287347,0.001927416,-0.024954699,-0.037286613
-0.17212642,0.024312941,-0.026925361,-0.014721275
-0.108420254,-0.047483333,-0.015324358,-0.020530926
-0.065900449,-0.059640082,-0.017322679,0.033016378
-0.042869191,-0.007091247,-0.004779505,0.081505236
0.004726269,-0.032977474,0.005868075,0.050103763
